,Room Name,DateIn,DateOut
10,Meeting Room A305,2021/1/19,2021/2/2
11,Meeting Room A306,2021/1/19,2021/2/2
12,Meeting Room A307,2021/1/19,2021/2/2
13,Meeting Room A308a,2021/1/19,2021/2/2
14,Meeting Room A308b,2021/1/19,2021/2/2
15,Meeting Room A309,2021/1/19,2021/2/2
16,Meeting Room A310,2021/1/19,2021/2/2
17,Meeting Room A311,2021/1/19,2021/2/2
18,Meeting Room A312,2021/1/19,2021/2/2
19,Meeting Room A313,2021/1/19,2021/2/2
20,Meeting Room A314,2021/1/19,2021/2/2
21,Meeting Room A315,2021/1/19,2021/2/2
22,Meeting Room A316,2021/1/19,2021/2/2
26,Meeting Room A401,2021/1/19,2021/2/2
27,Meeting Room A402,2021/1/19,2021/2/2
28,Meeting Room A403,2021/1/19,2021/2/2
29,Meeting Room A404,2021/1/19,2021/2/2
30,Meeting Room A405,2021/1/19,2021/2/2
31,Meeting Room A406,2021/1/19,2021/2/2
32,Meeting Room A407,2021/1/19,2021/2/2
33,Meeting Room A408,2021/1/19,2021/2/2
34,Meeting Room A409,2021/1/19,2021/2/2
35,Meeting Room A410,2021/1/19,2021/2/2
36,Meeting Room A411,2021/1/19,2021/2/2
37,Meeting Room A412,2021/1/19,2021/2/2
48,Meeting Room B201,2021/1/19,2021/2/2
49,Meeting Room B202,2021/1/19,2021/2/2
50,Meeting Room B203,2021/1/19,2021/2/2
51,Meeting Room B204,2021/1/19,2021/2/2
52,Meeting Room B205,2021/1/19,2021/2/2
53,Meeting Room B206,2021/1/19,2021/2/2
54,Meeting Room B207,2021/1/19,2021/2/2
55,Meeting Room B208,2021/1/19,2021/2/2
56,Meeting Room B209,2021/1/19,2021/2/2
57,Meeting Room B210,2021/1/19,2021/2/2
58,Meeting Room B211,2021/1/19,2021/2/2
59,Meeting Room B212,2021/1/19,2021/2/2
60,Meeting Room B213,2021/1/19,2021/2/2
61,Meeting Room B214,2021/1/19,2021/2/2
