,sqftPerEvent,orderedRentTotal,Attendance,totalRoomNights,eventDuration,contactTillStart,M-B,E-A,E-B,E-C,M-A,M-C,FB
502,4008541,307630.75,21626,12860.0,3,2144,29,4,1,0,29,0,150000.0
501,5050812,332800.0,100000,1.0,5,2115,0,0,0,4,0,8,1.0
500,6991274,168336.0,5000,11776.0,3,1431,30,0,8,0,0,0,250000.0
499,160052,20000.0,2100,487.0,2,408,0,0,0,0,0,14,8000.0
498,86011,0.0,900,1.0,1,98,0,0,0,0,0,1,28100.0
497,304931,32719.04,2200,238.0,3,135,18,0,0,0,0,0,150000.0
496,2036455,122075.5,5500,9825.0,3,2113,6,3,1,0,29,0,20000.0
495,4356,750.0,100,1.0,1,61,2,0,0,0,0,0,2000.0
494,51738,25168.0,4250,1.0,1,388,0,0,0,0,0,0,1.0
492,16435,5834.0,1500,500.0,1,284,0,0,0,0,0,0,1.0
493,11291,3797.46,700,1.0,1,59,0,0,0,0,2,0,1.0
491,1762099,82261.5,3200,1300.0,3,313,0,5,0,0,9,0,100000.0
490,23390200,482200.0,18000,21250.0,3,1568,47,1,6,4,0,23,100000.0
489,3025841,78000.0,3200,6360.0,3,559,0,4,0,0,29,0,0.01
488,33678,0.0,750,1.0,1,55,0,0,0,0,0,0,27500.0
487,8621173,367124.5,50000,20000.0,3,2089,47,4,10,1,29,23,1.0
486,16909,800.0,20,1.0,1,97,0,0,0,0,1,0,1000.0
485,19234038,850000.0,32000,37108.0,3,1190,47,4,5,9,30,22,0.01
484,44103659,1500000.0,500000,73866.0,1,1670,47,5,6,9,32,23,422825.0
483,3385967,72000.0,10220,5000.0,3,2104,0,4,0,0,28,0,150000.0
482,7685,300.0,100,1.0,1,13,0,0,0,0,0,0,1.0
481,82736,4452.75,2000,1.0,1,345,0,0,0,0,0,0,57750.0
480,25722,3500.0,2000,1.0,1,193,0,0,0,0,0,0,80000.0
479,21246321,550000.0,45078,50000.0,3,1537,47,1,5,4,13,27,0.01
478,41368,9000.0,1200,1.0,1,210,0,0,0,0,0,0,1.0
477,10138118,240000.0,26000,25.0,4,2116,0,6,0,0,12,0,1.0
476,5254603,30000.0,29301,1600.0,1,2038,0,0,0,4,0,25,0.01
475,313552,18536.0,5000,1.0,1,250,2,1,0,0,0,0,1.0
474,12542,3371.5,630,1.0,1,25,0,0,0,0,3,0,1.0
473,1554000,62000.0,200,1.0,4,14,0,3,0,0,0,0,6000.0
472,1001490,54500.0,13000,1.0,3,189,0,0,0,4,0,1,1.0
471,708082,0.0,5000,1.0,4,241,0,0,0,1,0,16,500000.0
470,364138,52180.0,2895,150.0,1,259,10,1,1,0,0,0,125000.0
469,200362,16562.0,1626,500.0,3,326,0,1,0,0,18,0,15000.0
468,211897,10800.0,4400,200.0,1,307,0,1,0,0,1,0,1.0
466,5348096,64238.0,19483,1.0,1,2011,0,2,2,5,1,8,0.01
465,704860,4000.0,200,1.0,5,320,0,0,0,0,0,0,1.0
464,2387513,144411.0,5880,14450.0,4,1154,6,5,1,0,27,0,1.0
463,156776,18536.0,5000,1.0,2,217,2,1,0,0,0,0,1.0
462,209252,8500.0,2610,1.0,1,277,0,0,0,3,0,0,1.0
461,1435706,70173.75,3265,4530.0,3,1670,44,1,2,0,0,0,1.0
459,2899376,94600.0,10330,3500.0,3,480,0,3,0,0,29,0,1.0
460,491606,23000.0,4000,50.0,3,434,2,0,1,0,0,0,0.01
458,22032,2004.0,520,1.0,2,22,3,0,0,0,0,0,16000.0
457,170239,0.0,2000,1.0,1,391,2,0,0,0,1,0,50000.0
456,1766470,81114.51,2597,2788.0,4,882,0,0,0,1,3,26,100000.0
455,2644472,65000.0,300,1.0,3,55,10,0,5,0,0,0,1.0
454,299678,40000.0,1200,510.0,3,482,0,1,0,0,15,0,0.01
453,72653,0.0,1500,1.0,2,120,0,0,0,0,0,2,28325.0
452,37831,0.0,1000,1.0,1,1066,0,0,0,0,0,0,29500.0
451,24016759,625000.0,38408,28639.0,3,2023,47,4,5,8,27,23,0.01
450,10378,5000.0,300,1.0,1,215,0,0,0,0,0,0,10000.0
