,Event ID,Description,Cluster,Demand,PM
297,6803,KeHE Distributors Summer Selling & Product Innovaton Show,CONV,2,0.175452413
298,16140,The Expo Group/Bronner,CON_P,1,0.143281007
299,5524,Ultimate Gym Sports - Paws for a Cause Invitational,COMP,1,0.189916846
300,16512,Qi Revolution,ME_OTH,1,0.196850486
301,10251,Bronner Bros. International Beauty Show,CONV,2,0.178043568
302,15001,Georgia Bridal & Wedding Expo,PUB,1,0.171896522
303,10347,Training Conference & Expo 2018,CONV,2,0.19171451
304,6114,CHEERSPORT,COMP,1,0.174427509
305,14533,Devnexus,CONF_GAM,1,0.180954042
306,15679,Rite of Election,CONF_GAM,1,0.186408287
307,16921,"The Total Health Forum, Hosted by the NBA and Kaiser Permanente",MEET,1,0.19931821
308,17211,FBI's Domestic Security Alliance Council,MEET,1,0.199179673
309,5061,"SECO International, LLC",CONV,2,0.171602604
310,16128,Freeman/American Trucking Associations,CON_P,1,0.190814676
311,16987,Monster Energy Supercross Pit Party,COMP,2,0.167883092
312,11081,TMC Annual Meeting & Transportation Technology Exhibition,CONV,2,0.184306595
313,6892,National Association of Independent Schools,CONV,2,0.190369792
314,15189,Jurassic Quest,PUB,2,0.177018692
315,15744,Call of Duty World League: Atlanta Global Open,COMP,2,0.189912696
316,14771,Starpower Competition,COMP,2,0.187974557
317,16335,NFL Retail Symposium,PUB,2,0.195984725
318,8602,SNAXPO,CONV,2,0.18240809
319,17154,DIAMOND JUBILEE USA MULAQAT,ME_OTH,2,0.185890742
320,6279,National Science Teachers Association,CONV,2,0.172386839
321,6118,2018 Atlanta International Auto Show,PUB,2,0.186556385
322,15448,General Motors Auto Show Kick-off Breakfast,ME_OTH,2,0.19518745
323,16988,Get Motivated,MEET,2,0.193616782
324,5500,Hinman Dental Meeting,CONV,2,0.187390671
325,17707,Wendy's March Madness Activation,ME_OTH,2,0.184419608
326,16694,Regional Mathfest Competition,COMP,2,0.176743681
327,16910,Nritya Natya Kala Bharti,CON_P,1,0.183002475
328,15413,Pink Cultured Pearls,SMALL,1,0.188660277
329,17267,Central Atlanta Progress Annual Meeting,ME_OTH,2,0.190858936
330,6129,2018 Big South Qualifier,COMP,2,0.171937358
331,17906,Roman Catholic Archdiocese of Atlanta,MEET,0,0.193089338
332,5372,National Propane Gas Association,CONV,1,0.182713669
333,5374,MODEX-2018,CONV,1,0.190822379
334,14924,Revolution Talent Competition,COMP,2,0.181785799
335,10716,One Up Championship,COMP,2,0.1868919
336,16869,Wekfest Auto Show,SMALL,1,0.182761426
337,17721,Boss Level,FILM_AWC,1,0.19791136
338,17780,Our Promise Kick-Off Meeting (Session 1),MEET,0,0.196073518
339,16661,ACVB Annual Meeting 2018,SMALL,1,0.191979078
340,16357,DECA 2018,CONF_GAM,1,0.180691573
341,9917,Southern Region Volleyball,COMP,2,0.188697779
342,17531,FCS Spring Fair,SMALL,1,0.194727182
343,7165,American Counseling Association,CONV,1,0.18567495
344,17066,Herbalife,MEET,0,0.186431076
345,16511,Perform Better Seminar,SMALL,1,0.199371521
346,16920,IO Solution Examination,MEET,0,0.184893233
347,18032,5TH Annual Rainbow 5K Run and 1 Mile Walk,CHRTY_GRAD,1,0.197583385
348,13400,IFS World Conference 2018,CONF_GAM,0,0.195043301
